x, y, ul, ur, rho, alpha, theta
0.006731042641470362,0.013885596670089317,60,50.40376752060769,0.6925470940075961,-0.004026848334999555,0.7821199797589199
0.013778501124279557,0.021074158905174337,49.59853813353399,59.59853813353399,0.682481726669175,0.01974215411050928,0.7580970402828284
0.02136126828341922,0.028426339876684078,48.75361583648758,58.75361583648758,0.6719201979560948,0.03695695195104287,0.7410060932923752
0.029178202238788663,0.035702183477427575,47.89964099233807,57.89964099233807,0.6612455124042259,0.04339141136138425,0.7350302377013077
0.037012616885713646,0.04282759072240503,47.053137694640974,57.053137694640974,0.6506642211830121,0.04153862435868749,0.737540097049556
0.04480353546918191,0.04988850429291996,46.21275965313464,56.21275965313464,0.640159495664183,0.03769963642472929,0.7420817472987674
0.05255430090856083,0.05696289683692296,45.37393157033874,55.37393157033874,0.6296741446292342,0.034899667411247615,0.7455477435415866
0.0601302069509099,0.06393313721515767,44.55092692774585,54.55092692774585,0.6193865865968231,0.03359661480962117,0.7474600173307282
0.06745013301357874,0.0707045200950545,43.75368270786776,53.75368270786776,0.609421033848347,0.03165223614794055,0.7499698766789765
0.0745687959049319,0.07731898627537319,42.97672427541056,52.97672427541056,0.599709053442632,0.02883909904833526,0.7533163558099744
0.08151745259694053,0.08381346894582109,42.216191874355296,52.216191874355296,0.5902023984294412,0.025506456586755877,0.7571409033882576
0.08836761781549558,0.09026227017742168,41.463833698259556,51.463833698259556,0.5807979212282445,0.020333262371576954,0.762758207643861
0.09513754406840909,0.09669586684688854,40.716891025796905,50.716891025796905,0.5714611378224613,0.014855399913919154,0.7686145461231072
0.10173187486120708,0.10303468826818954,39.98525683607217,49.98525683607217,0.5623157104509021,0.010006104978873331,0.7737537819314253
0.10814329309103188,0.10926611427730151,39.270054760408854,49.270054760408854,0.5533756845051107,0.005787500164781023,0.7781759150688152
0.11443160696625844,0.11543672379958093,38.56526316109176,48.56526316109176,0.544565789513647,0.002331612353032142,0.7817614284234558
0.12060235109348658,0.12154063049701189,47.87089980752085,37.87089980752085,0.5358862475940106,-0.0015453982453075277,0.7857054931135603
0.12663813672351515,0.1275561243221402,37.18917559596413,47.18917559596413,0.5273646949495516,0.001330214688241238,0.7828370824298478
0.1325050180765348,0.13341010436944406,36.526143153813834,46.526143153813834,0.5190767894226729,0.009455300177743875,0.774709918825996
0.1382424706600017,0.13907247032780942,35.8812674331469,45.8812674331469,0.5110158429143363,0.010376370563547566,0.7738732990432466
0.14392688628661227,0.14463201944107199,35.24520554131756,45.24520554131756,0.5030650692664695,0.004199324178210784,0.7802077059697783
0.14956171175837232,0.15017337444652942,44.61298064518551,34.61298064518551,0.49516225806481884,-0.003810179229808308,0.7883348695736302
0.15513685315297393,0.1557358860999081,43.98293946208974,33.98293946208974,0.4872867432761217,-0.004762106021408141,0.789291006468201
0.16060922785852394,0.1612456975940262,33.36169536302339,43.36169536302339,0.4795211920377923,0.006642254841596529,0.7778173637333514
0.16597857396460008,0.1665960016883702,32.75529963464443,42.75529963464443,0.4719412454330554,0.017053699948036516,0.7674193750048939
0.1712683182742656,0.17175298962174063,32.164337175738325,42.164337175738325,0.4645542146967291,0.014731201526847815,0.7699292343531422
0.17646522937066558,0.17677882345073664,31.586045582528094,41.586045582528094,0.45732556978160116,0.007095927345777131,0.7778173637333513
0.1815279909235201,0.181725683685862,31.019813302387135,41.019813302387135,0.4502476662798392,0.001772539184063615,0.7833151508771334
0.1864548373765325,0.18660496048971642,40.46509448292877,30.46509448292877,0.4433136810366096,-0.0013834031338394448,0.7865421128963099
0.1913116772016938,0.19145719455509752,29.91586627756198,39.91586627756198,0.4364483284695248,0.003520493803301661,0.7816419113116345
0.19603112768047537,0.19616495078199148,29.382582797458426,39.382582797458426,0.42978228496823034,0.01500972003301948,0.7701682685767849
0.20056794406244685,0.20061748740007243,28.874067482829233,38.87406748282923,0.4234258435353654,0.020525429160949904,0.7647899985448241
0.20497434919959862,0.2048691243064841,28.384295078285845,38.384295078285845,0.417303688478573,0.018276605476121754,0.7672998578930724
0.20924351256444537,0.2089759933234761,27.910478083228803,37.9104780832288,0.41138097604036,0.013299381032975788,0.7725586108132119
0.21337830649274048,0.2129845526748425,27.44982462248864,37.44982462248864,0.405622807781108,0.009223352636060111,0.7768612268387804
0.2174348559524638,0.2169552597673799,26.995738276609906,36.995738276609906,0.3999467284576238,0.006994521636584317,0.7792515690752074
0.22141450967839346,0.22087677613806572,26.548783762731333,36.54878376273133,0.39435979703414165,0.00507898662304207,0.7812833599761704
